,Comments,n_stars,Label
473,"Lấy hàng hôm 31/10, màu hồng xinh xĩu... pin trâu cực kì. Chờ đợi nửa tháng thì ẻm cũng về với mình. Ưng gì đâu luôn á.",5,
474,Lấy máy hôm 30.10.21 thanh toán bằng moca nhưng chưa thấy được hoàn tiền lại?????,4,
475,"vừa mới nhận ngày 27,trải nghiệm được 4 ngày, pin cực trâu, chụp hình đẹp.Nhân viên tư vấn rất chuyên nghiệp, nhiệt tình.",5,
476,Cam đẹp màn hình rất đẹp và sáng hơn 12. Đáng để nâng cấp nhé ae. Từ nhân viên đến quản lý siệu thị 113 nguyễn hệu tx bình long rất nhiệt tình và chu đáo,5,
477,Nhân viên Tư vấn rất nhiệt tình,5,
478,Mấy sai rất ok,5,
479,Mình thấy nhiều lúc mắn hình giả lac,5,
480,Nói chung sài trong hơn một tháng qua mọi thứ đều tốt chưa có vấn đề gì bận tâm cả còn về sau thì chưa giám đánh giá nói chung hài lòng với số tiền bỏ ra,4,
481,Sản phẩm ok tuy nhiên ai mua về cày game thì cân nhắc bản cao hơn còn Xiaomi redmi note 13 4G này thì cày game lâu lâu lác nên dùng cái này nghe gọi tác vụ bình thường thì quá ok,4,
482,cũng ok,5,
483,Mượt nhạy,5,
484,So với giá tiền thì ok ạ,5,
485,Máy dùng cơ bản cho phụ huynh ok,4,
486,Sản phẩm ok,5,
487,"Máy mượt, xứng đáng trong tầm giá",5,
488,Sản phẩm tốt giá rẻ,5,
489,Xai ok,5,
490,Với tầm giá này thì Xiaomi note 13 rất ok rồi,4,
491,Rất ok nhé,5,
492,Shop cho mk hỏi với ạ. Mk mua chiếc realme c55 ngày 15/12. Nhưng đến bh mk dùng thì mặt lưng có dấu hiệu bị phồng k va đập hay rơi rớt và bị ọp ẹp. Shop có đổi máy hay hoàn tiền đc k ạ,3,
493,Tốt,5,
494,Bên TGDĐ có thay mới kính cường lực với màn hình realme c55 không ạ,5,
495,Nhân viên Tư vấn nhiệt tình,5,
496,Cung ok,4,
497,Sài có 1 tháng rưỡi mà mặt sau nó bị phù lên 1 cục,2,
498,"Đặt sản phẩm online , nhận tại siêu thị ,tôi chỉ góp ý nhân viên không nên bóc seal trước ,sản phẩm được bóc sẵn ,bị nhân viên làm rách và có mở ra cài đặc trước .Tính mua tặng gia đình nhưng khi lấy ra nhiều dấu vân tay và cài sẵn nhìn giống máy đã bị sử dụng .Nên hơi thất vọng .",3,
499,Tốt,4,
500,Rất tốt,5,
501,"Pin tuột nhanh, sp thì tốt",5,
502,Chưa dùng được tháng Mặt sau đã hơi phồng chỗ gần camera,3,
503,Lỗi tự kết thúc cuộc gọi sau 20s. Nhiều lúc ức chế muốn đập điện thoại luôn.,3,
504,"TÔI CÓ THẮC MẮC.Mới mua đc 3 hôm với giá 4390trả thẳng sao ko có kèm theo tai nghe Bluetooth Nhân viên hỏi có mua thêm tai nghe không TGDĐ Tân Thủy, Ba Tri, Bến tre",3,
505,Tạm ổn,4,
506,Tối,5,
507,Rất tối,5,
508,"Máy chạy rất mượt mà , màu sắc rất đẹp, cấu hình mạnh ..",5,
509,"Nhân viên nhiệt tình , đt ok",5,
510,Tốt,4,
511,Xài ok pin trâu,5,
512,Hàng tốt,5,
513,"Sau 1 tuần sử dụng thì máy rất ổn, chơi các game phổ thông như Liên Quân hay PUBG rất ổn định ở mức 5560 fps. Camera cho ra ảnh đẹp, quay được ở 60 fps nhưng tiếc là không có OIS. Thiết kế bên ngoài trẻ trung, khó lỗi thời, cảm giác cầm nắm rất chắc không bám mồ hôi. Realme C55 còn nằm trong danh sách lên được android 14, một điểm cộng lớn cho chiếc điện thoại này. Tiếc là dùng màn IPS nên màu sắc chỉ ở mức tạm ổn, vì là IPS nên pin không tiết kiệm được như AMOLED nhưng đã có sạc 33w bù trừ. Về phần loa thì không được tốt cho lắm vì là loa đơn, có thể không mang lại chất lượng âm thanh tốt như loa kép nhưng vẫn rất ổn. Nút nguồn/cảm biến gần như là bằng với khung nên thời gian đầu có thể gây nhầm lẫn nhưng có thể khắc phục bằng 2 chạm trên màn hình để mở. Với tầm giá gần 5 củ thì đây thật sự là 1 sự lựa chọn tốt, 1 chiếc máy với thông số cân bằng với mức giá ai cũng có thể sở hữu. Đặc Biệt nhân viên điện máy xanh rất nhiệt tình, tư vấn rất đúng với sản phẩm cũng như thông số và nhược điểm của sản phẩm.",5,
514,Sau 1 tháng sử dụng thấy Sài kiểu phổ thông thì ổn.giá con này khoảng 3 triệu rưỡi thì hợp lý hơn,3,
515,Cho mình hỏi đt để trong tủ kiến hộp rời có phải đt mới 100%100 ko,5,
516,Ram 6 Gb mở rộng thêm 6Gb nữa mà chạy tác vụ không ổn định loading lại từ đầu không ram đúng 3Gb thì đúng hơn ảo quá,3,
517,Điện thoại xài mượt nhưng mỗi tội là pin nhanh hết vs lại loa hơi bé,4,
518,Cho tui hỏi đt tui mới mua 1 tháng bây h muốn bán lại đc như giá cũ hay giảm xuống nhiu ạ,4,
519,Nếu những người trong tầm giải trí thì rất ok hàng rất tốt và trải nghiệm khá tốt với lại tầm giá công nhân và sinh viên cũng có thể với tới được,5,
520,Sản phẩm rất tốt,3,
521,Mới xài chưa được nữa tháng sau mặt lưng bị nhô lên như pin bị phù z ạ. Mong phản hồi sớm,3,
522,Tốt,5,
523,Tốt,5,
524,Đôi khi các cuộc gọi đến mình đang nói chuyện thì bị tự động kết thúc cuộc gọi. Mình tắt tính năng tự động r mà nhiều lúc vẫn bị như vậy.,3,
525,Đẹp lại ngon . MN cứ update lên đầy đủ,5,
526,"máy đẹp, pin khoẻ, xử lý mượt",5,
527,Luôn hài lòng vì cách phục vụ của nhân viên TGDĐ Rất nhiệt tình và nhanh nhẹn.,5,
528,Tốt,5,
529,.,5,
530,Lúc pin ở mức 30% thường rớt wifi.khi máy nóng hay bị đơ,3,
531,mình là sv thì có những sp nào mua trả gop 0đ đc ạ,5,
532,Tôi rất hài lòng về sản phẩm,5,
533,Sp rat tot.hon nhung gi mong dợi,5,
534,Thông báo bị trễ.,4,
535,"Muot, chup hinh dep",5,
536,Đt dùng ổn áp mn ạ,5,
537,Tốt,4,
538,Máy thì ok . Mà thế gioi di dộng với hãng bảo hành ko ra gì . Bảo hành thay màn thì kêu 800 thay xong gởi lên tịt nguồn. Tr đó nguồn vẫn lên bảo hành xong nguồn sụp. Lại gởi lại kêu thay men 1tr8 nữa . Bỏ luôn chứ thay j nữa . Vô trách nhiệm .,1,
539,Chụp hình ko nét,3,
540,Kha ok,5,
541,"Camera sau của máy 2 con mắt BỰ chà bá lửa luôn,mua máy về sài mà nâng như nâng trứng,hứng như hứng hoa =)),nói vậy chứ cũng đặt cái cường lực bảo vệ cam rồi nên cũng yên tâm,bạn nào mua con này về nhớ đặt mua thêm kính cường lực cho camera sau nha,không là có ngày bể cam là hết cứu :v",4,
542,"Máy khá đẹp, cấu hình dạng ổn. Màn hình sáng màu tươi có 90hz luôn thật tuyệt với tầm giá này",5,
543,Tốt,5,
544,Ok,5,
545,Máy bình thường hơi giật lắc xíu sao nhanh hết PIN nhỉ pin 5000 mà chơi chưa được nữa ngày nữa đi sạc pin rồi.. Pin sạc rất nhanh tầm 30 phút lên 80 % pin nhưng sao nhanh hết PIN camera thì tốt cũng có lúc chụp hơi chậm đánh giá bình thường thôi chừng nào pin không tụt nhanh 5 sao,3,
546,Máy dùng ok .khá mượt chỉ là hơi nhanh hết pin có lẽ là vì màn hình lớn nên cảm thấy tụt pin nhanh .nọi chúng tầm giá này là quá ok rồi,4,
547,Tốt,5,
548,..,5,
549,"Sản phẩm dùng ok. Pin dùng khoẻ, sạc nhanh .Hợp với số tiền",5,
550,Rất tốt,5,
551,Máy dùng OK,5,
552,"Máy rất OK, dùng rất thích, màn lớn cáu hình tốt, giá cả phù hợp.",5,
553,Giá rẻ xài tốt,5,
554,San phẩm xài rất tốt,5,
555,Tốt,4,
556,"Mua cho bố, ngoại hình đẹp loa khá xịn, màn hình tốt, pin trâu ,sạc nhanh. Nhân viên phục vụ rất nhiệt tình",5,
557,Máy tốt phù hợp với giá tiền,4,
558,Dùng các ứng dụng cơ bạn thì mượt còn chơi game thì chưa biết ổn trong tầm giá,4,
559,Hài lòng,4,
560,"Điện thoại nhanh hết pin, kết nối wif quá chậm, loa nghe nhỏ, nói chung tệ trong tầm giá",2,
561,Hàng rất OK nhân viên tư vấn nhiệt tình,5,
562,"Máy dùng được một lúc tầm 3p là có hiện tượng nóng ,hoặc bỏ ra quay 2-3 video tầm 1p là máy bị nóng",2,
563,Mình mới mua hôm qua dùng rất ok rẻ mà ngon nha. Dòng realme k nổi trội như những hãng khác nhưng độ đầm và độ bền theo thời gian thì chắc k thua ai.cá nhân mình thấy ram6gb vật lý hay bản 8gb sài ổn rồi nên tắt ram ảo đi máy xử lý nhẹ hơn ít nóng hơn,5,
564,"Vừa mua đôi với bố khá ok đẹp ,chụp hình ở mức ổn thôi , chơi game ko nên chơi để cấu hình quá cao , mặt lưng đẹp nhưng điểm lạ tui mua 2 cái đều vàng mà của tui màu kiểu xanh - hồng còn của bố tôi màu vàng lạ ghê , mà camera to quá chỉ sợ xước camera thui",5,
565,tôi thanh toán bằng momo nhưng không được giảm giá,3,
566,Tui cảm thấy điện thoại của tui tự nhiên sao nó bị phù gần camera vậy mong thế giới di động xem xét lại dùm tui đc hong,3,
567,Tốt,5,
568,"Máy OK, mượt sẽ ủng hộ tiếp",5,
569,Máy bat wifi k đc cứ lúc đc lúc k,2,
570,Tuyệt vời,5,
571,Máy không có lưới bảo vệ loa trong à mọi người nhỉ,4,
572,Máy tốt,5,
573,Mình đa từng dùng chip MediaTek nhưng dùng sang con này có chip MediaTek g88 thấy ok mượt anh em nên mua,4,
574,"Đẹp,thời thượng, tinh tế... Quá ổn cho một em sành điệu và sang chảnh...",5,
575,Nếu mjh trả góp.. thì mấy tháng sau nếu chưa hết chu kỳ.. mjh muốn trả hết có đc k? Hay là phải trả theo chu kỳ ạ,4,
576,"Đẹp, sạc nhanh, nhưng mà cũng hơi hết pin nhanh 😅",3,
577,"Máy ok mà hơi mau hết pin, với cho em hỏi là sạc cục sạc nóng lên có sao không ạ ?",4,
578,OK 👌,5,
579,SP đẹp,4,
580,Máy rất mượt còn ngon hơn giòng iphone,5,
581,Pin tụt nhanh. Còn lại cũng ổn so với giá,3,
582,"Sp ok, sạc nhanh, bắt wf tốt, tốt so với các sp khác trong tầm giá",4,
583,Quá OK.,5,
584,"Sản phẩm tuyệt vời, lại được tặng free 6 tháng bảo hành. Nên mua",5,
585,Pin mau hết.loa mở hết mức nghe ồ wá.camara chụp ảnh k nét lắm,2,
586,Ns chung sài mượt sạc nhanh hơn redminote11 đa nhiệm sài ok vs mỗi tội pin ko cầm tý pin hết hơi nhanh,5,
587,Rất tốt,5,
588,Tuyệt vời trong tầm giá,5,
589,Tốt,5,
590,Mình thấy dùng rất tốt,5,
591,Ở cơ y kien,3,
592,Ok,5,
593,Ok,5,
594,Máy rất OK lun.,5,
595,"Nv phục vụ tốt,nhiệt tình",5,
596,Cam trước không được sắc nét như quảng cáo,3,
597,"Nhân viên bán hàng tư vấn rất nhiệt tình, vui vẻ, rất dễ thương tôi rất hài lòng",5,
598,Khá ổn trong tầm giá,4,
599,Rất tốt,5,
600,tốt,4,
601,Sản phẩm tốt,4,
602,ok,5,
603,Sài lâu 1 ứng dụng quá. Thấy hơi bị đơ máy. Tạm ổn.,4,
604,SP tốt,5,
605,Quà tặng tai nghe hẹn ngày lấy thì lại hẹn thêm vì chưa có hàng. Trong khi bạn mình mua cũng con này ở FPT thì đã có rồi. Lúc đầu tư vấn thì bảo quà có chung l mình mới đặt cọc để mua. Vì tai nghe cũ hư nên cần tai nghe mới. CellphoneS hay là FPT sẽ là những lựa chọn điểm mua điện thoại tiếp theo.,1,
606,Ok,4,
607,ok,5,
608,Sản phẩm này quá dở không ưng ý,1,
609,Máy tạm ổn,4,
610,Tốt,5,
611,"Sản phẩm tốt, nên mua",5,
612,Chưa sử dụng lâu nên chưa biết hết tính năng giá thì ok,3,
613,"Máy đẹp,mượt,chụp hình sắc nét.Chị Quỳnh ở TGDĐ số 8 Hoà Bình - Ninh Kiều - Cần Thơ tư vấn nhiệt tình dễ thương.",5,
614,"Sạc rất nhanh, màn hình rộng, khả năng xử lý đa nhiệm các ứng dụng tốt.",5,
615,Nhân viên tư vấn dễ thương,5,
616,ok,5,
617,chăm soc khach hàng tuyệt vời,5,
618,ok,5,
619,"Máy tốt, mượt",4,
620,Ok,4,
621,ok,4,
622,Máy đẹp mọi thứ đều ổn rất đáng đồng tiền,5,
623,Ok,5,
624,Màn hình nhỏ thêm tý nữa . Và mắt cam nhỏ hơn và để chìm hơn sẽ đẹp hơn. Camera nét hơn và thực tế hơn nữa thì nhất luôn.,4,
625,Tốt,5,
626,Sử dụng oke,5,
627,"Sản phẩm rất tốt, tuy nhiên con một số chưa ưng y lắm như màn hình hơi tôi .....",4,
628,Bạn Trang rất nhiệt tình với khách hàng 🥰,5,
629,Rất tuyệt vời,5,
630,Làm viec nhiet tình,5,
631,Rất tốt,5,
632,Điện thoại dùng ok nhưng máy nhánh hết bin quá dù là 5000mz,5,
633,Nhân viên phục vụ nhiệt tình,4,
634,Đt chs game mượt,5,
635,Tư vấn rất nhiệt tình ❤️,5,
636,Rất tốt,5,
637,Ok,5,
638,tốt,5,
639,Rất hài lòng,5,
640,sản phẩm dùng rất tốt,5,
641,ok,5,
642,Nhân viên làm việc rất tốt quá tuyệt vời,5,
643,Tạm ổn trong tầm giá,3,
644,Máy e thấy sài Bình thường có lúc vẫn chậm đơ máy,3,
645,Rất tốt,5,
646,5sao. Cho nhân viên. Điện thoại mới mua hoạt động bình thường. Mình luôn luôn tin tưởng về chất lượng của sản phẩm. ĐIỆN MÁY SANH,4,
647,Mua ngày 14/2 đến bây giờ chưa đầy 1 tháng mà còn có 99%,3,
648,cho em hỏi máy em mua khoản được 8 tháng còn trong thời gian bảo hành máy tuột pin nhanh còn 87 thì bên thế giới di động có chính sách thay pin không ạ,3,
649,Tiền ít hàng thơm.,5,
650,Rất tốt,5,
651,Mới mua máy được 2 tháng đã bị tụt 1% pin rồi có được bảo hành không vậy,1,
652,máy chạy mượt,5,
653,"M thấy dịch vụ của tgdd ko còn đc tốt như trc, hôm m đi mua ngoài chú bảo vệ ra k ai tiếp đón. Đến lúc m gọi mới có ng ra lấy máy cho m. Qli thì vừa đi vừa xem đt rất bình tĩnh.",3,
654,"Pin hiện tại của mình tụt rất nhanh . Ngày 3/1/2024 mình kiểm tra pin 96% , hôm nay 12/1 pin chỉ còn 94%",3,
655,"Máy mượt, mát, pin tốt, lâu chai",5,
656,"Đợt trước mình cũng gửi đánh giá là pin bị tụt nhanh rồi, nghe theo hướng dẫn là nâng cấp lên IOS 16.7.1 vào ngày 15/10/2023 thì lúc đó pin tầm 95%. tầm khoảng 2 tháng sau, ngày 25/12/2023 check thì còn 93%, sang hôm sau kiểm tra 26/12/2023 còn 92%, đến ngày hôm nay 1/1/2024 kiểm tra còn 91%. Pin tụt nhanh lắm ạ",3,
657,Dùng tốt,5,
658,alo sao điện thoại mình không kết nối được wifi dù đã reset lại cả điện thoại cả cục wifi,3,
659,Tôi mua mới ko dùng cũng hao pin quá. Sản phẩm ko nên mua vì hao pin. Ko biết máy có lỗi ko,2,
660,"M cảm thấy pin nhanh hết.bình thuong minh chỉ luot wed.nt thôi mà 1 ngày đã hết pin. Trong khi ko xem phim, chơi game hay j cả. Liệu vậy có sao ko nhỉ. Ko dc bền pin cho lắm.hơi thất vọng",3,
661,"Máy mua lại nhưng sử dụng rất mượt, pin bền",5,
662,"Em mới mua từ ngày 4/11 xài chưa được 1 tháng nhưng mấy hôm gần đaay cứ để qua đêm là nó lại tụt xuống 10% pin, không hiểu sao lậy vậy ạ. Trả lời giúp e",3,
663,Ok ban,4,
664,Mới dung chưa được 2thang ma tụt xuống 4% rồi,3,
665,Ok,4,
666,"mới mua, xài ok lắm nhe",5,
667,….!,5,
668,Máy em mua ngày 12/10 đến nay ngày 3/11 chưa đầy 1 tháng mà pin đã tụt từ 100 xuống còn 99% thì có ổn không ạ,4,
669,Máy mượt chụp ảnh OK,5,
670,Dùng rất tốt nhé,5,
671,Tốt,4,
672,Tốt,5,
673,Rất tốt nhân viên tư vấn tận tình chu đáo,5,
674,Sản phẩm tiền nào của nấy . Đáng giá nhất phân khúc hơn 10 củ . Androi thua 1 năm nếu tính độ lâu dài,5,
675,Sản phẩm rất tốt. Hài lòng nhân viên phục vụ điện máy xanh,5,
676,Tốt,4,
677,Bắt sống yếu có tiếng đi trước hình,3,
678,"Chào anh chị. Máy em dùng mọi chức năng đều tốt, chỉ có điều dùng rất nhanh bị nóng, xem youtube tải sẵn video, ko bật 4G mà hơn 10p đã thấy nóng hơn các máy khác rất nhiều. Máy em vẫn dùng bản iOS từ lúc mua là 15.7, mã 19H12. Theo em tìm hiểu thì đây là 1 bản Beta. Hiện tại nếu update thì có 2 lựa chọn 16.7.1 hoặc 17... Anh chị tư vấn giùm em với, em cám ơn nhiều",5,
679,Khỏi bàn quá êm nhanh gọn lẹ,5,
680,Máy em ko dùng cũng tụt pin có việc j ko ak,4,
681,sản phẩm dùng ok nhé,5,
682,Em mua đc 3 ngày mà nay em sạc pin cứ tới mức 87% là pin ko tăng lên,3,
683,"Điện thoại mới, seal zin, cảm ứng mượt, nhạy, pin lâu. Sử dụng tốt, chưa thấy có vấn đề gì. Rất hài lòng",5,
684,Exynos 2100 và Apple A13 chip nào game ok hơn ạh,4,
685,Ok,5,
686,mình mua cg lâu rồi pin còn 85% hk biết thế giới di động có thay pin hk,5,
687,mua 6/9 về vài bữa lên ios 17 lỗi từa lưa..ko bật tắt dữ liệu di động ở cửa sổ..ko tắt dữ liệu di động từng ứng dụng..ko tắt bật đc dữ liệu nền,2,
688,"Thỉnh thoảng cảm ứng chậm,cùng sử dụng 2 đt cảm ứng nhưng iPhone mạng yếu hơn",3,
689,quá đẹp,5,
690,Sản Phẩn Dùng Rất Tốt,5,
691,Tốt,5,
692,Nhân viên nhiệt tìnhlễ phépthái độ phục vụ khách hàng rất tốt máy tốt,4,
693,sản phẩm rất tốt,5,
694,Ok,5,
695,Sản phẩm mới sử dụng nên tạm thời chỉ đánh giá tốt. Riêng thái độ phục vụ thì rất tốt.,4,
696,Ok,4,
697,Tot,4,
698,Mình mua được 1 năm còn rất mới muốn bán lại tgdd có thu lại k ak,5,
699,Đt chụp ảnh bị lỗi gửi lên trung tâm bảo hành thẩm định mất 10 ngày kêu không lỗi rồi gửi về tôi nhận lại đt chụp hình vài tấm đã thấy giật giật chế độ chân dung k chuyển cảnh mà tgdd kêu k bị lỗi. Lỗi sờ sờ mà k check ra thì đặt câu hỏi là tgdd có thẩm định hay không Hay chỉ làm thủ tục qua loa. Vĩnh viễn k bao giờ mua hàng ở tgdd nữa,1,
700,Sóng yếu,3,
701,Rất tốt nên mua,5,
702,Em mới mua được gần 2 tháng bên mình có thu lại không ạ,4,
703,sản phẩm dùng gần 3 năm rồi tốt lắm,5,
704,tui mua điện thôi ơi thế giới di động độp họp luôn mà bị hở mắn hình rớt buồn . mua được 47 ngay . không có lam rớt . sai rất kỹ,1,
705,Ở thới giới di động có hổ trợ đổi e sim để Sài cho ip 11 ko ạ,5,
706,Lỗi,1,
707,Sản phẩm sử dụng chưa được 10 tháng nữa mà hết dây cáp sạc bị lỗi rồi đến máy bị lỗi. Mõi cái đem đi bảo hành từ 714 ngày. Bó tay. Tôi rất buồn khi mua sản phẩm này.,1,
708,"Nhân viên Huyền chăm sóc khách hàng rất tốt, tư vấn nhiệt tình lắm nha, mình mua tại Hòn Chồng, Nha Trang.",5,
709,Rất tốt,5,
710,Mua điện thoại xong lại k cho sạc Bắt người ta phải mua sạc bên ngoài,2,
711,Điện thoại rất mượt và đẹp.,5,
712,"Đt mình mua 09/4 đến hôm nay 20/6 mà pin đã tuột 96% thì có vấn đề ở pin kh ạ cảm thấy hơi tuột lẹ, pin để qua đêm tuột tầm 4-5% dù đã tắt mạng và kh chạy ngầm ứng dụng nào ạ. Tầm 1 tháng pin về 99 thêm 10 ngày sau thì 98 là tiếp đó là 97 và 96 đến rất nhanh ạ :((( mình dùng không hẳn là quá nhiều chỉ để lướt fb zalo tik tok không chơi game gì luôn. Tuột nhanh quá cảm thấy hơi hoang mang hiccc",3,
713,San phẩm Sài OK,5,
714,sài được 3 tháng mấy thì bị tụt 2 phần trăm pin với bị tróc sơn mặc dù không rơi rớt gì với còn thời gian bảo hành thì có được đổi máy mới hay bảo hành không ạ điện buổi chiều giúp em sáng em đi học không tiện nghe máy,3,
715,Máy rất tốt cảm ứng mượt,5,
716,Máy dùng mượt,4,
717,San phẩm bt,3,
718,Mới sài được 1th mà pin tuột còn 99%. 😭,3,
719,"Mua được gần 1 tuần theo đánh giá cá nhận trong tầm giá này không có đối thủ, pin dùng tốt được khoảng 1,5 ngày nếu",5,
720,ms mua hôm qua thấy ok nv tư vấn phục vụ nhiệt tình,5,
721,Rất tốt,5,
722,Rất tốt,5,
723,Rất tốt,5,
724,Ok,5,
725,Tốt,5,
726,Tốt,4,
727,Sản phẩm sử dụng tốt mn nên mua nha,5,
728,Tốt,4,
729,RẤT TỐT,5,
730,Sau 1 tháng sử dụng cảm thấy rất hài lòng,5,
731,rất tốt,5,
732,Màn hình hơi xấu. Còn lại thì ok hết nha,4,
733,Đt ok,5,
734,Ok,5,
735,RẤT TỐT,5,
736,Vẫn dùng rất tốt,5,
737,Rất tốt,5,
738,Rất tốt,5,
739,"Sản phẩm tốt bền,pin trâu",5,
740,❤️❤️,5,
741,mới sử dụng nên chưa có j😁😁,5,
742,Nvien nhiệt tình,5,
743,Tốt tuyệt vời,5,
744,"Không biết nói sao! TGDD có thế mạnh về dịch vụ nhưng nhân viên biến tướng khi tư vấn bán hàng đổi trả, còn bảo hành. Cụ thể bắt người mua kí cam kết hàng không được đổi trả trong khi dịch vụ được cho phép. Có 2 lần mua, không biết tư vấn vớ vẩn gì yêu cầu khách hàng kí trên hoá đơn và họ chụp hình lại.",1,
745,Rất tốt,5,
746,Ưng,5,
747,ok,5,
748,Rất tốt,5,
749,Điện thoại iPhone 11 64GB dùng rất tốt ạ,5,
750,Bay h minh may biet tai sao moi người lai chọn iPhone cam nhan khi chuyen tu Samsung sang iphone cam nhan dau tien la nhanh muot camera chi tiet rất sac nét nhan vien thi rất OK cam on các b,5,
751,Hiệu năng của iPhone 11 đỉnh nhưng ios cao ko mượt như iOS thấp như ios 15 được nhưng được một ưu điểm là xem được video 4k,5,
752,sản phẩm rất tốt,5,
753,Quá ngon . Pin quá ngon . Giá tầm ntn mn mua hợp lý,5,
754,Chất lượng dịch vụ của thế giới Di Động và bách hóa xanh không tốt . Thái độ xem thường khách hàng .,1,
755,E có mua 1 con ip11 hàg đã qua sử pin 100% từ ngày 26/11/2022 tới hôm nay là ngày 26/3/2023 mới 4 thág pin đã tuột 8% tuột liên tục còn bảo hành Apple tới ngày 4/10/2023,1,
756,Sản phẩm đẹp rất tốt,5,
757,OK,4,
758,mới mua lần đầu mà gặp lỗi,3,
759,"Tốt,",5,
760,"Mua máy cũ còn bảo hành hãng. Chức năng tốt, ngoại hình không đẹp lắm, bị xước rõ màn 🥲",3,
761,Rat tot,5,
762,Rất tốt,5,
763,"ok. nhân viên chu đáo, nhiệt tình",5,
764,Tốt,5,
765,Tôi rất thích,5,
766,sao hay bị vỡ kính cường lực nhỉ,5,
767,Máy rất tốt,5,
768,Rất ok,5,
769,Hiện tại dùng đến giờ vẫn rất ổn,4,
770,Hài lòng,5,
771,"Mua được 1 tháng lỗi chập chờn nói người khác không nghe , bảo hàng tận 56 ngày mới trả máy , dùng được 2 ngày thì lỗi lại tới TGDD thì bảo mang đi BH lại . Thôi đi sửa ngoài cho lành chứ bh tận 2 tháng thì ối dồi ơi",1,
772,Sản phẩm tốt. Nhưng bị hạn chế một số tính năng của máy. K đa dạng như android,5,
773,Rất tốt,5,
774,"Mh có mua đt ip 11 tại tgdd, dùng hơn 1 tháng thì bị cháy led 1 góc, nhìn là biết lỗi từ phía nhà sản xuất. Đem đi bảo hành thì nhân viên đùn đẩy trách nhiệm từ người này sang cửa hàng khác, lúc đầu báo BH 15 ngày sau lại báo 30 ngày. Sao 1 hãng lớn thông tin BH lại không thống nhất vậy. Xong lúc đầu nv báo đổi máy mới mất 10%, sau vài hôm nv lại báo mất 20% đổi máy. Chán thật sự với cách giải quyết bảo hành cho KH, giờ KH không có máy dùng thì nv báo 1 có 1 cái máy nào cho KH sử dụng trong thời gian bảo hành. Tgdd bán 1 máy lỗi cho khách giờ không có 1 chút trách nhiệm với KH, giờ lại bắt KH chịu phí đổi máy chưa kể đem máy đi BH không có 1 cái tem niêm phong nào đảm bảo không rã máy khách trong quá trình thẩm định máy , chế độ BH không có 1 chút lợi ích gì cho KH, đùn đẩy trách nhiệm thông tin BH lại không thống nhất. Thật sự mà nói trước đây mình mua mọi thứ điện thoại, điện máy đều ở đây. Sau lần này sẽ không bao giờ quay lại nữa! Yêu cầu bên phía tgdd có trách nhiệm sau khi bán sp lỗi cho KH, chứ không phải tư vấn chỉ để bán hàng, xong thì không có trách nhiệm như vậy được!",1,
775,nhân viên tư vấn rất ok,5,
776,"Nói chung xài cx tốt, màn hình to vs lo tốt pin thì đánh giá tầm trung thôi camera chụp phải nói rất đẹp, điểm trừ lớn nhất có lẽ là mặt lưng í dễ xước gây mất thẩm mĩ cực . Nói chung okay",4,
777,Hang tot. Dich vu tot,5,
778,Mọi thứ đều tốt Pìn 3100 xài 2 ngày quá tuyệt vời hệ điều hành Android pin 5k chỉ xài được 1 ngày. Nhân viên thế giới Di Động ở lai uyên bàu bàng bình dương phục vụ nhiệt tình rất tốt 👍⭐⭐⭐⭐,5,
779,Mua ở thế giới di động rất hài lòng,5,
780,Máy dùng tốt,5,
781,Ok,5,
782,"Cũng ngon, đang dùng androi quen nên dùng cái trợ năng k quen cho lắm",4,
783,Điện thoại mua ở thế giới di động rất tốt rất hài lòng,5,
784,"Sản phẩm tốt. nhân viên nhiệt tình, chu đáo. Sẽ ủng hộ điện máy xanh, tgdđ.",5,
785,Mọi thứ đều rất ổn,4,
786,vào mess gọi điện toàn thấy ' đang kết nối ' k biết bị sao,3,
787,Dùng cũng đc 7 tháng r nhưng lúc mới đầu dung lượng pin tuột rất nhanh đến 95% thì bắt đầu ko thấy tuột nữa,4,
788,Rất tốt,5,
789,Rất hài lòng,5,
790,tốt,4,
791,Rất tốt,4,
792,Anh,5,
793,Nhân viên bán hàng nhiệt tình Kỹ thuật hỗ trợ rất tốt,5,
794,Rất tốt,5,
795,Tốt,5,
796,"Ngoại hình tốt. Máy mượt, dùng rất ngon.",5,
797,Tốt lắm,5,
798,iphone xài quá là sướng đang xài cả iphone sam sung vivo oppo. nói chung thì thấy iphone là mượt mà nhất so với tầm giá. điểm trừ là phải thêm củ sạc 20w chính hãng apple nữa mất 690k. xạc pin nhanh cho nên là máy có thể nói là máy nóng m sợ nó hư hong nên lúc nào xạc pin m cũng lấy cái quạt mini quạt cho nó haha,4,
799,Cho em hỏi sạc em dùng củ sạc chính hãng khi cắm sạc máy lại nóng tầm 15p mới hết có lỗi,3,
800,Tốt,5,
801,Rất tốt,5,
802,"Sản phẩm tốt, giá hợp lý",4,
803,Minh la khach hang than thiet cua tgdd..minh da tung mua hang ben tgdd may trăm trieu roi cu vao lich su mua hang cua minh la biet.vi vay de nghi tgdd.phai co trach nhiem voi minh,1,
804,Rất ok,5,
805,"Nhân viên khá nhiệt tình, máy mua 2 tháng r khá ổn Chán cái phải mua sạc riêng mất 690k",5,
